               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034649,            0.059841,            0.014666,             0.84963,             0.82891,             0.88995,             0.60757,            0.032004,            0.066203,             0.02174,           0.0082675,           0.0082675,           0.0082675
                  37,            0.036623,             0.06489,            0.013752,             0.79127,              0.8249,             0.90132,              0.6622,             0.03148,            0.067537,            0.023001,            0.008218,            0.008218,            0.008218
                  38,            0.036122,            0.064885,            0.015551,             0.93449,             0.93577,             0.95477,             0.64688,            0.032661,            0.064994,            0.018966,           0.0081685,           0.0081685,           0.0081685
                  39,            0.035726,            0.061256,            0.013656,             0.93211,             0.92169,              0.9498,             0.71909,            0.027925,            0.062799,            0.018742,            0.008119,            0.008119,            0.008119
                  40,            0.031672,             0.06244,            0.014302,             0.85321,             0.89405,             0.92661,              0.6766,             0.02938,            0.063637,            0.019685,           0.0080695,           0.0080695,           0.0080695
                  41,            0.032823,            0.056919,            0.013808,             0.87673,             0.83315,             0.91326,               0.663,            0.028002,            0.063856,            0.019614,             0.00802,             0.00802,             0.00802
                  42,            0.031747,             0.06009,            0.012928,             0.88182,             0.83472,             0.90857,             0.66299,            0.027949,            0.059991,             0.01938,           0.0079705,           0.0079705,           0.0079705
                  43,            0.034435,            0.061446,            0.012208,             0.90666,             0.88424,             0.91047,             0.68034,            0.027174,             0.05866,            0.018495,            0.007921,            0.007921,            0.007921
                  44,            0.032072,            0.058239,            0.012507,             0.87883,             0.77409,             0.90238,             0.65511,            0.028323,            0.058599,             0.02189,           0.0078715,           0.0078715,           0.0078715
                  45,            0.032263,            0.057342,            0.012226,             0.93096,             0.85783,             0.92581,             0.66964,            0.028529,            0.059656,             0.01946,            0.007822,            0.007822,            0.007822
                  46,            0.033898,            0.058155,            0.012469,             0.92351,             0.90252,             0.93667,             0.63651,            0.029148,            0.060636,             0.01825,           0.0077725,           0.0077725,           0.0077725
                  47,            0.034763,             0.06008,            0.012119,             0.86919,             0.88795,             0.91571,             0.64174,            0.030771,              0.0611,            0.017488,            0.007723,            0.007723,            0.007723
                  48,            0.033712,            0.062604,            0.013057,              0.9194,             0.89183,             0.93836,             0.66088,             0.03021,            0.061525,            0.017565,           0.0076735,           0.0076735,           0.0076735
                  49,            0.034195,            0.062519,             0.01361,              0.8665,             0.82072,             0.93211,             0.63551,            0.031097,            0.064236,            0.020709,            0.007624,            0.007624,            0.007624
                  50,            0.033299,            0.057766,            0.013997,             0.74186,             0.86942,             0.93651,             0.64515,            0.032452,             0.06462,             0.02646,           0.0075745,           0.0075745,           0.0075745
                  51,             0.03427,            0.057943,            0.014777,             0.87151,              0.8376,             0.90797,             0.63508,             0.02904,            0.061245,             0.01744,            0.007525,            0.007525,            0.007525
                  52,            0.031126,            0.059002,            0.012692,             0.89047,             0.84436,             0.92338,             0.68069,            0.029467,            0.061957,            0.017268,           0.0074755,           0.0074755,           0.0074755
                  53,            0.032961,            0.058093,            0.012289,             0.90185,             0.86578,             0.93965,             0.67055,            0.029386,            0.065842,            0.016831,            0.007426,            0.007426,            0.007426
